DOCID,TOPICID,DOC TITLE,TOPIC NAME
312,13,"State Board of Education Merger Activity Map. January 10, 2018",Regulation
287,12,"State Board of Education Executive Summary: Secretary's Proposed Plan Pursuant to Act 46, Sec. 10 June 1, 2018",Funding
45,13,"Act 173 Advisory Group Agenda - May 4, 2020",Regulation
266,5,Special Education Funding Formula Projections,Research
161,14,The Rise And Fall Of Vermont's One-Room Schoolhouses (podcast),Funding
274,9,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",Census Based
208,14,Cite as: 16 V.S.A. § 1,Funding
169,12,"Alliance Defending Freedom:  Families sue Vermont for religious discrimination (Jan 30, 2019)",Funding
247,3,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Legistlative
314,2,"State Board of Education News  Roles and Responsibilities for the Vermont State Board of Education and Agency of Education August 4, 2022",Census Based
199,4,"Census-Based Funding Advisory Group IDEA Fiscal - Part II PowerPoint February 4, 2019 (Act 173 Advisory Group)",K-12
201,3,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Legistlative
331,3,STATE OF VERMONT OFFICE OF LEGISLATIVE COUNCIL,Legistlative
36,7,"Act 173 Advisory Group Agenda - February 1, 2021",Elementary
118,9,"Act 173 Advisory Group Meeting Agenda: February 6, 2023",Census Based
342,3,Vermont Annual State Application Under Part B of the Individuals with Disabilities Education Act as Amended in 2004 for Federal Fiscal Year 2019,Legistlative
352,9,Vermont spending plan seems to help schools.,Census Based
181,14,"CBFAG - Rulemaking Sub-Committee October 12,2018 (Act 173 Advisory Group)",Funding
297,14,"State Board of Education Memo  School Districts that Submitted Section 9 Proposals; Regional Meetings July 3, 2018",Funding
309,1,"State Board of Education Memo. Adopted Rule 2200, Independent School Program Approval, Selected Rules Effective May 10, 2022. April 28, 2022",Funding
216,9,Educating Mary Barrosse.  Author: Amity Shlaes  Date: April-May 1999  From: Policy Review,Census Based
69,5,"Act 173 Advisory Group December Meeting.  December 6, 2021",Research
86,5,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",Research
268,6,Judge upholds Act 46,Advisory
281,3,"State Board of Education Articles of Agreement: Franklin Northwest UUSD November 30, 2018 ",Legistlative
320,8,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",High School
211,3,Consensus Based Funding Models:  Baker and Ramsey (2010),Legistlative
136,12,Act 173 Advisory Group Rule Series 2229 Enrollment Provisions.  03-03-22,Funding
188,8,"Census-Based Funding Advisory Group Approved Minutes from January 7, 2019 (Act 173 Advisory Group)",High School
184,12,"Census-Based Funding Advisory Group Act 173 AC VTmtss - PowerPoint March 4, 2019 (Act 173 Advisory Group)",Funding
25,7,Act 173 Advisory Group Act 173 Draft Meeting Minutes - 03-03-22,Elementary
292,14,State Board of Education Meetings for 2022 - 2023,Funding
261,5,Response to Questions Posed by the Task Force on Pupil Weighting,Research
258,12,"Report of the Census-Based Funding Advisory Group - January 15, 2020 Feb 4/2020",Funding
305,2,"State Board of Education Memo State Board of Education Statement on Reform of the Special Education System February 21, 2018",Census Based
337,7,The Putney School,Elementary
162,14,One member selected by the Vermont Legal Aid Disability Law Project;,Funding
6,1,VCSEA,Funding
236,2,"Instructions for FY-22 Special Education Expenditure Report September 13,2021",Census Based
238,6,"Legislative Report: Expanding and Strengthening Best-Practice Supports for Students Who Struggle: Preliminary Highlights for Discussion (DMG Report) January 10, 2018",Advisory
76,4,"Act 173 Advisory Group Draft Meeting Minutes: December 5, 2022",K-12
37,11,"Act 173 Advisory Group Agenda - February 3, 2020",Public Input
205,7,"Census-Based Funding Advisory Group Special Education Allowable Costs DRAFT February 4, 2019 (Act 173 Advisory Group)",Elementary
48,14,"Act 173 Advisory Group Agenda - October 5, 2020",Funding
171,1,"Annual Report of the Vermont Board of Education, with the Report of the ...",Funding
100,10,"Act 173 Advisory Group Draft Minutes from October 5, 2020",Census Based
32,6,"Act 173 Advisory Group Act 173 Technical Guidance - Educational Support Teams in School District Systems November 4, 2019",Advisory
120,13,"Act 173 Advisory Group Meeting Minutes: April 4, 2022",Regulation
2,9,Preliminary Education Fund Outlook,Census Based
171,6,"Annual Report of the Vermont Board of Education, with the Report of the ...",Advisory
211,9,Consensus Based Funding Models:  Baker and Ramsey (2010),Census Based
120,7,"Act 173 Advisory Group Meeting Minutes: April 4, 2022",Elementary
156,6,"Census-Based Funding Advisory Group Agenda - May 6, 2019 (Act 173 Advisory Group)",Advisory
76,9,"Act 173 Advisory Group Draft Meeting Minutes: December 5, 2022",Census Based
88,11,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Public Input
20,11,,Public Input
245,2,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont Independent Schools Association or designee;,Census Based
313,7,"State Board of Education News Letter to General Assembly from Secretary French and Dr. Kolbe regarding Background and Remaining Points of Disagreement in SBE/AOE Legislative Report. August 4, 2022",Elementary
138,1,Act 173 Advisory Group Schedule of Meetings for 2023 Feb 6/2023),Funding
281,12,"State Board of Education Articles of Agreement: Franklin Northwest UUSD November 30, 2018 ",Funding
322,1,"State Board of Education News. State Board of Education-Statement of Preparedness for Ripton School District August 12, 2022",Funding
61,3,"Act 173 Advisory Group Approved Minutes October 4, 2021",Legistlative
116,4,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",K-12
263,12,Just Saying No: Vermont Education Secretary Defies Lawmakers,Funding
299,9,"State Board of Education Memo State Board of Education Statement on Cost-containment in Education February 22, 2018",Census Based
159,2," Act 173 Section B Forms FY 2023 September 3,2020",Census Based
249,8,Member of Census-Based Funding Advisory Group:: The Executive Director of the Vermont Principals’ Association or designee;,High School
98,13,"Act 173 Advisory Group Draft Minutes from May 4, 2020",Regulation
214,8,District forums on realigning Vermont School Choice policies with U.S. and VT Constitution,High School
32,8,"Act 173 Advisory Group Act 173 Technical Guidance - Educational Support Teams in School District Systems November 4, 2019",High School
176,8,Bennington Banner:  Legislative update: Preserving Vermont's unique education landscape (By Rep. Seth Bongartz),High School
226,2,Federal Government/Dept of Education:  Office of Special Education Programs (OSEP),Census Based
33,4,"Act 173 Advisory Group Agenda - April 5, 2021",K-12
37,1,"Act 173 Advisory Group Agenda - February 3, 2020",Funding
348,6,"Vermont Estimated IDEA Award Amount for Federal Fiscal Year 2019 (March 14, 2019)",Advisory
317,7,"State Board of Education News State Board of Education - Rule 2200 Public Comments April 4, 2022",Elementary
214,12,District forums on realigning Vermont School Choice policies with U.S. and VT Constitution,Funding
320,2,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Census Based
301,12,"State Board of Education Memo Rule 2200 Final Annotated Filing April 4, 2022",Funding
22,2,Using the Evidence-Based Method to Identify Adequate Spending Levels for Vermont Schools,Census Based
88,9,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Census Based
168,11,Agency of Education:  Act 173 Advisory Group,Public Input
76,12,"Act 173 Advisory Group Draft Meeting Minutes: December 5, 2022",Funding
166,11,"Act 173 Section D Forms FY 2022 September 3,2020",Public Input
182,1,"Census-Based Funding Advisory Group  Memo from Tom Lovett, Twila Perry, Mark Tashjian and Bill Bugg to the Census Based Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Funding
138,3,Act 173 Advisory Group Schedule of Meetings for 2023 Feb 6/2023),Legistlative
61,10,"Act 173 Advisory Group Approved Minutes October 4, 2021",Census Based
293,11,State Board of Education Meetings for 2023 - 2024,Public Input
4,12,Preliminary Education Fund Outlook (September 2012),Funding
248,1,Member of Census-Based Funding Advisory Group::  The Executive Director of the Vermont Council of Special Education Administrators or designee,Funding
247,3,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Legistlative
26,8,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",High School
198,4,"Census-Based Funding Advisory Group Draft Minutes from September 14, 2018 (Act 173 Advisory Group)",K-12
163,11,2023 VT 15 No. 22-AP-059,Public Input
139,1,Act 173 Advisory Group Special Meeting Agenda - 03-03-22,Funding
195,3,"Census-Based Funding Advisory Group Draft Minutes from January 7, 2019 (Act 173 Advisory Group)",Legistlative
128,5,"Act 173 Advisory Group Meeting: May 2, 2022Questions and Answers on draft MOE Documentation Technical Guide",Research
296,12,"State Board of Education Memo Memorandum - State Board of Education Determining Eligibility for Small Schools Grants June 29, 2018",Funding
148,11,"Act 173 Advisory Group-Draft Meeting Minutes February 7, 2022",Public Input
187,12,"Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)",Funding
126,13,"Act 173 Advisory Group Meeting: May 1, 2023.  Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Regulation
36,13,"Act 173 Advisory Group Agenda - February 1, 2021",Regulation
148,8,"Act 173 Advisory Group-Draft Meeting Minutes February 7, 2022",High School
221,3,,Legistlative
119,8,"Act 173 Advisory Group Meeting Agenda: September 12, 2022",High School
256,13,Vermont To Reimburse Families For Tuition To Private Religious Schools,Regulation
233,2,History of IDEA,Census Based
201,9,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Census Based
251,5,One member selected by the Vermont Association of School Business Officials;,Research
258,1,"Report of the Census-Based Funding Advisory Group - January 15, 2020 Feb 4/2020",Funding
361,2,Rules for Special Education Finance and Census-Based Funding,Census Based
336,13,The Impact of Census-Based Special Education Funding in Pennsylvania1,Regulation
297,9,"State Board of Education Memo  School Districts that Submitted Section 9 Proposals; Regional Meetings July 3, 2018",Census Based
232,4,History of Education in Vermont By George Gary Bush,K-12
224,4,Education:  ATtendence and Discipline,K-12
224,10,Education:  ATtendence and Discipline,Census Based
231,12,History of Barre Education,Funding
263,14,Just Saying No: Vermont Education Secretary Defies Lawmakers,Funding
317,5,"State Board of Education News State Board of Education - Rule 2200 Public Comments April 4, 2022",Research
273,6,"State Board of Education Act 46 State Board of Education Final Order Map November 30, 2018",Advisory
265,5,"Special Education Expenditure Report for FY-2022 September 13,2021",Research
72,11,"Act 173 Advisory Group Draft Meeting Minutes - March 7, 2022",Public Input
97,5,"Act 173 Advisory Group Draft Minutes from March 1, 2021",Research
6,9,VCSEA,Census Based
257,6,"Report of the Census-Based Funding Advisory Group - January 15, 2019",Advisory
128,5,"Act 173 Advisory Group Meeting: May 2, 2022Questions and Answers on draft MOE Documentation Technical Guide",Research
352,10,Vermont spending plan seems to help schools.,Census Based
221,14,,Funding
154,1,"Act 173 Advisory Group. Local Comprehensive Assessment Systems - Act 173 Technical Guidance February 3, 2020",Funding
27,12,"Act 173 Advisory Group  VLA-DLP Letter to Roy and French - Adoption of MTSS Rule January 6, 2020",Funding
259,8,"Report of the Census-Based Funding Advisory Group - January 8, 2021",High School
329,13,"State Board of Education Vermont's Strategic Vision for Education February 21, 2018",Regulation
43,10,"Act 173 Advisory Group Agenda - June 7, 2021",Census Based
81,2,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",Census Based
270,7,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",Elementary
270,8,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",High School
177,14,"BFP:  Vermont schools study new standards  (Sep 14, 2010 )",Funding
288,8,"State Board of Education FAQ: Secretary's Proposed Plan under Act 46, Sec.10 June 1, 2018",High School
278,1,"State Board of Education Appendix G: Common Data Points for Each District Submitting a Section 9 Proposal  June 1, 2018",Funding
232,14,History of Education in Vermont By George Gary Bush,Funding
61,6,"Act 173 Advisory Group Approved Minutes October 4, 2021",Advisory
1,2,Education Fund Outlook - Post Closeout for FY2018 and July Revenue Update for FY2019,Census Based
321,2,"State Board of Education News Vermont State Board of Education Announces Search for Secretary of Education April 16, 2018",Census Based
271,3,"State Board of Education  Memo: Act 46 Schedule and Process  May 31, 2018",Legistlative
60,10,"Act 173 Advisory Group Approved Minutes October 4, 2021",Census Based
212,8,Considerations for Establishing Categorical Aid Programs to Adjust for Cost Differentials Among Districts & Schools,High School
249,13,Member of Census-Based Funding Advisory Group:: The Executive Director of the Vermont Principals’ Association or designee;,Regulation
57,8,"Act 173 Advisory Group Approved Meeting Minutes - May 4th, 2020",High School
117,7,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Elementary
132,14,"Act 173 Advisory Group Memo from Simmons to State Board Committee and Act 173 Advisory Group re: Rule 2229.4  February 7, 2022",Funding
312,2,"State Board of Education Merger Activity Map. January 10, 2018",Census Based
106,12,"Act 173 Advisory Group Draft Report to the Legislature.  January 3, 2022",Funding
354,3,"Vermont Tax Structure Commission (PREPARED IN ACCORDANCE WITH ACT 11, SEC.H.17 OF THE 2018 SPECIAL LEGISLATIVE SESSION
)  (Feb 8, 2021)",Legistlative
306,3,"State Board of Education Memo Statement on Equity and Racism by the Vermont State Board of Education  June 17, 2020",Legistlative
343,12,,Funding
208,1,Cite as: 16 V.S.A. § 1,Funding
220,3,Education in Vermont (Wikipedia),Legistlative
329,4,"State Board of Education Vermont's Strategic Vision for Education February 21, 2018",K-12
26,7,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Elementary
38,12,"Act 173 Advisory Group Agenda - February 7, 2022",Funding
140,14,"Act 173 Advisory Group Special Meeting Agenda - December 11, 2019",Funding
351,11,Vermont Secretary of State: Preserved documents,Public Input
293,3,State Board of Education Meetings for 2023 - 2024,Legistlative
66,11,"Act 173 Advisory Group Census-Based Funding Advisory Group Draft Report-Outline of Report to the Legislature January 6, 2020",Public Input
103,2,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",Census Based
311,3,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",Legistlative
233,10,History of IDEA,Census Based
225,2,"Federal Education Group - Draft Report on IDEA, Part B Spending and Related Fiscal Rules and their Potential Implications for the State of Vermont’s Act 173 Implementation July 24, 2019",Census Based
194,1,"Census-Based Funding Advisory Group Draft Minutes from February 4, 2019 (Act 173 Advisory Group)",Funding
166,4,"Act 173 Section D Forms FY 2022 September 3,2020",K-12
311,11,"State Board of Education Memo. Public Comment: Rep. Avram Patt  July 12, 2022",Public Input
146,2,"Act 173 Advisory Group VSA-VPA Act 173 Professional Development Report January 6, 2020",Census Based
6,14,VCSEA,Funding
240,13,LLMC Digital,Regulation
21,1,The Evidence-Based (EB) model,Funding
349,3,,Legistlative
156,7,"Census-Based Funding Advisory Group Agenda - May 6, 2019 (Act 173 Advisory Group)",Elementary
207,8,CHITTENDEN TOWN SCHOOL DISTRICT v. DEPARTMENT OF EDUCATION (1999),High School
326,6,"State Board of Education Technical Center Regions and Supervisory Unions Map May 31, 2018",Advisory
