ID,Organization,Sub Organization,Date,Year,Type,Org Type,Document Title,Author,Website Link,Data Type
61,Vermont State Board of Education,Act 173 Advisory Group,9/16/2019,2019,Agenda,Executive,"Act 173 Advisory Group Agenda - September 16, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Census%20Based%20Funding%20Act%20173%20Advisory%20Group%20Final%20Agenda-09-16-19.pdf,PDF
62,Vermont State Board of Education,Act 173 Advisory Group,1/9/2022,2022,Agenda,Executive,"Act 173 Advisory Group Agenda: January 9, 2023",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-agenda-01-09-2023.pdf,PDF
63,Vermont State Board of Education,Act 173 Advisory Group,11/4/2019,2019,,Executive,"Act 173 Advisory Group AHS Updates for Act 173 Advisory Workgroup November 4, 2019",,https://education.vermont.gov/sites/aoe/files/documents/AHS%20Updates%20for%20Act%20173%20Advisory%20Workgroup.pdf,PDF
64,Vermont State Board of Education,Act 173 Advisory Group,10/4/2021,2021,,Executive,"Act 173 Advisory Group AOE Act 173 Update October 4, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group-AOE%20Update-10-4-2021.pdf,PDF
65,Vermont State Board of Education,Act 173 Advisory Group,2/3/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Meeting Minutes - February 3rd, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Minutes-02-03-20.pdf,PDF
66,Vermont State Board of Education,Act 173 Advisory Group,1/6/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Meeting Minutes - January 6, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Meeting%20Minutes%2001-06-2020.pdf,PDF
67,Vermont State Board of Education,Act 173 Advisory Group,7/13/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Meeting Minutes - July 13, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Approved%20Minutes-July%2013%202020%20Act%20173%20Meeting.pdf,PDF
68,Vermont State Board of Education,Act 173 Advisory Group,5/4/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Meeting Minutes - May 4th, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Approved%20Minutes-May%204%202020%20Act%20173%20Meeting.pdf,PDF
69,Vermont State Board of Education,Act 173 Advisory Group,11/4/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Meeting Minutes - November 4, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Census-Based%20Advisory%20Group%20Approved%20Meeting%20Minutes%20-%2011-04-19.pdf,PDF
70,Vermont State Board of Education,Act 173 Advisory Group,7/24/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Minutes July 24, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Meeting%20Minutes-07-24-2019.pdf,PDF
71,Vermont State Board of Education,Act 173 Advisory Group,10/4/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Minutes October 4, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Minutes%2010-04-2021_0.pdf,PDF
72,Vermont State Board of Education,Act 173 Advisory Group,10/4/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Minutes October 4, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Minutes%2010-04-2021_0.pdf,PDF
73,Vermont State Board of Education,Act 173 Advisory Group,10/7/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Minutes October 7, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Meeting%20Minutes-10-07-2019.pdf,PDF
74,Vermont State Board of Education,Act 173 Advisory Group,9/16/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Minutes September 16, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Meeting%20Minutes-09-16-2019.pdf,PDF
75,Vermont State Board of Education,Act 173 Advisory Group,12/5/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Minutes: December 5, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-approved-minutes-12-05-2022.pdf,PDF
76,Vermont State Board of Education,Act 173 Advisory Group,12/11/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Approved Special Meeting Minutes - December 11, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Approved%20Special%20Meeting%20Minutes-12-11-19.pdf,PDF
77,Vermont State Board of Education,Act 173 Advisory Group,1/6/2020,2020,Draft Report,Executive,"Act 173 Advisory Group Census-Based Funding Advisory Group Draft Report-Outline of Report to the Legislature January 6, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Census-Based%20Funding%20Advisory%20Group_Draft%20Report-Outline%20of%20Report%20to%20Leg.pdf,PDF
78,Vermont State Board of Education,Act 173 Advisory Group,12/7/2020,2020,Rules,Executive,"Act 173 Advisory Group December 7, 2020  Clean Copy Draft Rules Series 2200",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20AG%20Meeting-Clean%20Copy%20Draft%20Rules%20Series%202200-12-07-20.pdf,PDF
79,Vermont State Board of Education,Act 173 Advisory Group,12/7/2020,2020,Draft Rules,Executive,"Act 173 Advisory Group December 7, 2020  Draft Rules Series 2200 with Tracked Changes from the Current Rules",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20AG%20Meeting-Draft%20Rule%202200%20Tracked%20Changes%20from%20Current%202200-12-07-20.pdf,PDF
80,Vermont State Board of Education,Act 173 Advisory Group,12/6/2021,2021,,Executive,"Act 173 Advisory Group December Meeting.  December 6, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Final%20Agenda-12-6-2021.pdf,PDF
82,Vermont State Board of Education,Act 173 Advisory Group,10/7/2019,2019,,Executive,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Special%20Education%20Allowable%20Costs%20Manual%20DRAFT%20October%203-10-16-2019.pdf,PDF
83,Vermont State Board of Education,Act 173 Advisory Group,3/7/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes - March 7, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Final%20Draft%20Minutes-03-07-2022.pdf,PDF
84,Vermont State Board of Education,Act 173 Advisory Group,10/4/2021,2021,Meeting Minutes,Executive,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes%2010-04-2021.pdf,PDF
85,Vermont State Board of Education,Act 173 Advisory Group,10/4/2021,2021,Meeting Minutes,Executive,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes%2010-04-2021.pdf,PDF
86,Vermont State Board of Education,Act 173 Advisory Group,12/6/2021,2021,Meeting Minutes,Executive,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes-12-6-2021.pdf,PDF
87,Vermont State Board of Education,Act 173 Advisory Group,12/5/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: December 5, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-12-05-2022.pdf,PDF
88,Vermont State Board of Education,Act 173 Advisory Group,12/5/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: December 5, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-12-05-2022.pdf,PDF
89,Vermont State Board of Education,Act 173 Advisory Group,2/6/2023,2023,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-02-06-23.pdf,PDF
90,Vermont State Board of Education,Act 173 Advisory Group,2/6/2023,2023,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: February 6, 2023",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-02-06-23.pdf,PDF
91,Vermont State Board of Education,Act 173 Advisory Group,1/3/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: January 3, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes-01-03-2022.pdf,PDF
92,Vermont State Board of Education,Act 173 Advisory Group,6/6/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-06-06-2022_0.pdf,PDF
93,Vermont State Board of Education,Act 173 Advisory Group,5/2/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes-05-02-2022.pdf,PDF
94,Vermont State Board of Education,Act 173 Advisory Group,5/2/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: May 2, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes-05-02-2022.pdf,PDF
95,Vermont State Board of Education,Act 173 Advisory Group,10/3/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-10-3-2022.pdf,PDF
96,Vermont State Board of Education,Act 173 Advisory Group,10/3/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-10-3-2022.pdf,PDF
97,Vermont State Board of Education,Act 173 Advisory Group,9/12/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-09-12-2022.pdf,PDF
98,Vermont State Board of Education,Act 173 Advisory Group,9/12/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-minutes-09-12-2022.pdf,PDF
99,Vermont State Board of Education,Act 173 Advisory Group,9/12/2022,2022,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-review-of-flexibility-technical-guidance-10-03-22.pdf,PDF
100,Vermont State Board of Education,Act 173 Advisory Group,4/5/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from April 5, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Draft%20Minutes%20April%205%202021revised.pdf,PDF
101,Vermont State Board of Education,Act 173 Advisory Group,8/3/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from August 3, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Draft%20Minutes-August%203%202020%20Act%20173%20Meeting.pdf,PDF
102,Vermont State Board of Education,Act 173 Advisory Group,12/7/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from December 7, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Draft%20Minutes%20December%207%202020.pdf,PDF
103,Vermont State Board of Education,Act 173 Advisory Group,2/1/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from February 1, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Draft%20Minutes%20February%201%202021.pdf,PDF
104,Vermont State Board of Education,Act 173 Advisory Group,1/4/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from January 4, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Draft%20Minutes%20January%204%202021.pdf,PDF
105,Vermont State Board of Education,Act 173 Advisory Group,7/13/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from July 13, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Final%20Draft%20Minutes-July%2013%202020%20Act%20173%20Meeting.pdf,PDF
106,Vermont State Board of Education,Act 173 Advisory Group,7/24/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from July 24, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Final%20Draft%20Meeting%20Minutes-07-24-2019.pdf,PDF
107,Vermont State Board of Education,Act 173 Advisory Group,6/7/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from June 7, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Final%20Draft%20Minutes%20June%207%202021.pdf,PDF
108,Vermont State Board of Education,Act 173 Advisory Group,3/1/2021,2021,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from March 1, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Draft%20Minutes%20March%201%202021.pdf,PDF
109,Vermont State Board of Education,Act 173 Advisory Group,5/4/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from May 4, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Revised%20Draft%20Minutes-May%204%202020%20Act%20173%20Meeting.pdf,PDF
110,Vermont State Board of Education,Act 173 Advisory Group,11/4/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from November 4, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Meeting%20Minutes-11-4-19.pdf,PDF
111,Vermont State Board of Education,Act 173 Advisory Group,10/5/2020,2020,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from October 5, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Draft%20Minutes-October%205%202020%20Act%20173%20Meeting.pdf,PDF
112,Vermont State Board of Education,Act 173 Advisory Group,10/7/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from October 7, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Meeting%20Minutes-10-07-2019.pdf,PDF
113,Vermont State Board of Education,Act 173 Advisory Group,9/16/2019,2019,Meeting Minutes,Executive,"Act 173 Advisory Group Draft Minutes from September 16, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Meeting%20Minutes-09-16-2019.pdf,PDF
114,Vermont State Board of Education,Act 173 Advisory Group,10/5/2020,2020,,Executive,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",,https://education.vermont.gov/sites/aoe/files/documents/2200%20Stakeholder%20Draft%20for%20Act%20173%20AG%20Meeting-10-5-2020.pdf,PDF
115,Vermont State Board of Education,Act 173 Advisory Group,10/5/2020,2020,MTSS Framework Tools,Executive,"Act 173 Advisory Group Draft October 5, 2020 VTmtss Framework Tools",,https://education.vermont.gov/sites/aoe/files/documents/The%20VTmtss%20Framework%20Tools%20%20Act%20173%20AC%2010.05.20%20final.pdf,PDF
116,Vermont State Board of Education,Act 173 Advisory Group,1/9/2023,2023,Draft. Report to General Assembly,Executive,"Act 173 Advisory Group Draft Report to the General Assembly Meeting: January 9, 2023",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-draft-report-to-legislature-01-09-2023.pdf,PDF
117,Vermont State Board of Education,Act 173 Advisory Group,1/3/2022,2022,Draft.  Report to Legislature,Executive,"Act 173 Advisory Group Draft Report to the Legislature.  January 3, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group-Draft%20Report%20to%20the%20Legislature-01-03-22.pdf,PDF
118,Vermont State Board of Education,Act 173 Advisory Group,12/11/2019,2019,Draft.  Special Minutes,Executive,"Act 173 Advisory Group Draft Special Minutes from December 11, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Special%20Meeting%20Minutes-12-11-19.pdf,PDF
119,Vermont State Board of Education,Act 173 Advisory Group,2/3/2020,2020,Draft. Special Minutes,Executive,"Act 173 Advisory Group Draft Special Minutes from February 3, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Meeting%20Minutes%20Abridged-02-03-20.pdf,PDF
120,Vermont State Board of Education,Act 173 Advisory Group,1/6/2020,2020,Draft.  Special Minutes,Executive,"Act 173 Advisory Group Draft Special Minutes from January 6, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Meeting%20Minutes-01-06-20.pdf,PDF
121,Vermont State Board of Education,Act 173 Advisory Group,2/1/2021,2021,Presentation by Tammy Kolbe,Executive,"Act 173 Advisory Group February 1, 2021 Act 173 Weighting Study Presentation by Tammy Kolbe",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Weighting%20Study%20Presentation%20from%20Kolbe-01-06-2020.pdf,PDF
122,Vermont State Board of Education,Act 173 Advisory Group,2/1/2021,2021,Draft.  Rule 2200,Executive,"Act 173 Advisory Group February 1, 2021 Draft Rule 2200 as Approved by the Act 173 Advisory Group",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20AG-Draft%20Rule%202200%20as%20Approved%20by%20Advisory%20Group-2-1-2021.pdf,PDF
123,Vermont State Board of Education,Act 173 Advisory Group,1/3/2022,2022,Agenda,Executive,"Act 173 Advisory Group Meeting - January 3, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Meeting%20Agenda-01-03-2022.pdf,PDF
124,Vermont State Board of Education,Act 173 Advisory Group,3/7/2022,2022,Agenda,Executive,"Act 173 Advisory Group Meeting Agenda - March 7, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Agenda_03-07-22.pdf,PDF
